objectid,title,date,prompt,platform,filename,display_template,object_location,image_small,image_thumb
gen-0,librarian AI workshop,2024-01-11,first meeting of librarian faculty to discuss AI platforms workshop,OpenAI DALL·E 2 (free),dall-e_2024-01-11_14.06.18.png,image,/objects/dall-e_2024-01-11_14.06.18.png,/objects/small/dall-e_2024-01-11_14.06.18_sm.jpg,/objects/thumbs/dall-e_2024-01-11_14.06.18_th.jpg
gen-1,librarian AI workshop,2024-01-11,a watercolor painting depicting the first meeting of faculty librarians to discuss AI platforms,OpenAI DALL·E 2 (free),dall-e_2024-01-11_15.07.14.png,image,/objects/dall-e_2024-01-11_15.07.14.png,/objects/small/dall-e_2024-01-11_15.07.14_sm.jpg,/objects/thumbs/dall-e_2024-01-11_15.07.14_th.jpg
gen-2,librarian AI workshop,2024-01-11,a watercolor painting depicting the first meeting of faculty librarians to discuss AI platforms,OpenAI DALL·E 2 (free),dall-e_2024-01-11_15.07.25.png,image,/objects/dall-e_2024-01-11_15.07.25.png,/objects/small/dall-e_2024-01-11_15.07.25_sm.jpg,/objects/thumbs/dall-e_2024-01-11_15.07.25_th.jpg
gen-3,ILA conference,2022-10-06,profound learning presentation in idaho library association water color,OpenAI DALL·E 2 (free),dall-e_2024-01-11_15.13.25.png,image,/objects/dall-e_2024-01-11_15.13.25.png,/objects/small/dall-e_2024-01-11_15.13.25_sm.jpg,/objects/thumbs/dall-e_2024-01-11_15.13.25_th.jpg
gen-4,ILA conference,2022-10-06,crowd watching intently to the presentation about profound learning at the idaho library association conference as water color painting,OpenAI DALL·E 2 (free),dall-e_2024-01-11_15.13.37.png,image,/objects/dall-e_2024-01-11_15.13.37.png,/objects/small/dall-e_2024-01-11_15.13.37_sm.jpg,/objects/thumbs/dall-e_2024-01-11_15.13.37_th.jpg
gen-5,ILA conference,2022-10-06,crowd watching intently to the presentation about profound learning at the idaho library association conference as water color painting,OpenAI DALL·E 2 (free),dall-e_2024-01-11_15.13.44.png,image,/objects/dall-e_2024-01-11_15.13.44.png,/objects/small/dall-e_2024-01-11_15.13.44_sm.jpg,/objects/thumbs/dall-e_2024-01-11_15.13.44_th.jpg
gen-6,librarians,2022-10-06,an abstract painting showing what it looks like to be a profound librarian with profound learning as a way of life,OpenAI DALL·E 2 (free),dall-e_2024-01-11_15.14.13.png,image,/objects/dall-e_2024-01-11_15.14.13.png,/objects/small/dall-e_2024-01-11_15.14.13_sm.jpg,/objects/thumbs/dall-e_2024-01-11_15.14.13_th.jpg
gen-7,librarians,2022-10-06,an abstract painting showing what it looks like to be a profound librarian with profound learning as a way of life,OpenAI DALL·E 2 (free),dall-e_2024-01-11_15.14.20.png,image,/objects/dall-e_2024-01-11_15.14.20.png,/objects/small/dall-e_2024-01-11_15.14.20_sm.jpg,/objects/thumbs/dall-e_2024-01-11_15.14.20_th.jpg
gen-8,librarians,2022-10-06,an abstract painting showing what it looks like to be a profound librarian with profound learning as a way of life,OpenAI DALL·E 2 (free),dall-e_2024-01-11_15.14.26.png,image,/objects/dall-e_2024-01-11_15.14.26.png,/objects/small/dall-e_2024-01-11_15.14.26_sm.jpg,/objects/thumbs/dall-e_2024-01-11_15.14.26_th.jpg
gen-9,librarians,2022-10-06,a neoclassical painting showing what it looks like to be a profound librarian with profound learning as a way of life,OpenAI DALL·E 2 (free),dall-e_2024-01-11_15.14.53.png,image,/objects/dall-e_2024-01-11_15.14.53.png,/objects/small/dall-e_2024-01-11_15.14.53_sm.jpg,/objects/thumbs/dall-e_2024-01-11_15.14.53_th.jpg
